code,name,category,price,productType
FARM-farm-buffalo-calf,"عجل جاموسي","المزرعة",195,farm
FARM-farm-veal,"بتلو حي","المزرعة",18000,farm
KANDOUZ-kandouz-fridge,"لحم كندوز","كندوز",495,good
KANDOUZ-kandouz-half,"نصف عجل كندوز","كندوز",310,good
KANDOUZ-kandouz-mince-fatty,"مفروم دسم","كندوز",470,good
KANDOUZ-kandouz-mince-lean,"مفروم صافي","كندوز",495,good
KANDOUZ-kandouz-quarter,"ربع عجل كندوز","كندوز",310,good
OFFAL-offal-bone-kandouz,"عظم كندوز","فواكه اللحوم",20,good
OFFAL-offal-heart-kidney,"قلب وكلاوي مشكلة","فواكه اللحوم",88,good
OFFAL-offal-testicles,"مخاصي","فواكه اللحوم",120,good
SERV-svc-cook-meat,"تسوية لحم","الخدمات",40,service
SERV-svc-grind,"فرم لحمة","الخدمات",15,service
SERV-svc-process-meat,"توضيب لحمة","الخدمات",20,service
SERV-svc-rice-basmati,"وجبة رز بسمتي","الخدمات",40,service
SERV-svc-rice-tray,"صينية رز بسمتي","الخدمات",180,service
SERV-svc-rice-white,"وجبة رز أبيض","الخدمات",25,service
SERV-svc-sausage-make,"تصنيع سجق","الخدمات",25,service
SERV-svc-slaughter-calf,"ذبح عجل","الخدمات",250,service
SERV-svc-slaughter-sheep,"ذبح خروف","الخدمات",80,service
SERV-svc-transport-calf,"نقل عجل","الخدمات",150,service
SERV-svc-transport-sheep,"نقل خروف","الخدمات",50,service
